FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
201405,28,0,22855,522783,"D","05/28/2014 00:00:00",36,"M","In Water",201405
201405,10,0,22868,523714,"D","05/10/2014 00:00:00",,"M","In Water",201405
201405,8,0,22863,523010,"I","05/08/2014 00:00:00",19,"F","Vehicle/Towed Trailer",201405
201405,28,0,22856,522784,"D","05/28/2014 00:00:00",21,"M","In Water",201405
201405,31,0,22861,522803,"D","05/31/2014 00:00:00",21,"M","In Water",201405
201405,31,0,22862,522803,"D","05/31/2014 00:00:00",25,"M","In Water",201405
201405,25,0,22864,523159,"D","05/25/2014 00:00:00",40,"M","In Water",201405
201405,25,0,22871,524482,"D","05/25/2014 00:00:00",51,"M","Outside/Open Areas",201405
201405,25,0,22872,524482,"D","05/25/2014 00:00:00",24,"M","Outside/Open Areas",201405
201405,25,0,22873,524482,"D","05/25/2014 00:00:00",46,"M","Outside/Open Areas",201405
