"","EVENT_ID","STATE","MONTH_NAME","EVENT_TYPE","INJURIES_DIRECT","INJURIES_INDIRECT","DEATHS_DIRECT","DEATHS_INDIRECT","DAMAGE_PROPERTY","DAMAGE_CROPS"
"44564",417004,"NEW JERSEY","October","High Wind",0,0,2,1,"100.00M","0.00K"
"44565",417005,"NEW JERSEY","October","High Wind",0,0,0,2,"50.00M","0.00K"
"44579",413118,"NEW JERSEY","October","High Wind",0,0,0,2,"900.00K","0.00K"
"44580",416827,"NEW JERSEY","October","High Wind",0,0,0,2,"0.00K","0.00K"
"44704",416958,"NEW JERSEY","October","High Wind",0,0,0,3,"500.00M","0.00K"
"44711",417002,"NEW JERSEY","October","High Wind",0,0,0,6,"129.00M","0.00K"
"44712",417003,"NEW JERSEY","October","High Wind",2,0,3,0,"50.00K","0.00K"
"45043",470326,"WISCONSIN","June","Heat",0,0,0,1,"0.00K","0.00K"
"45339",417152,"IOWA","December","Blizzard",7,0,2,0,"100.00K","0.00K"
"45586",416315,"NEW HAMPSHIRE","October","Debris Flow",0,0,1,0,"0.00K","0.00K"
"45730",411052,"PUERTO RICO","October","Flash Flood",0,0,1,0,"0.00K","0.00K"
"45736",417229,"NORTH CAROLINA","October","High Wind",0,0,1,0,"20.00K",""
"45754",416969,"IDAHO","November","Winter Weather",0,2,0,1,"","0.00K"
"45998",420067,"CALIFORNIA","November","Strong Wind",0,0,0,1,"50.00K","0.00K"
"46079",367330,"LOUISIANA","April","Lightning",2,0,2,0,"0.00K","0.00K"
"46140",409003,"OKLAHOMA","October","Flash Flood",0,0,1,0,"0.00K","0.00K"
"46157",416015,"FLORIDA","October","Lightning",0,0,1,0,"0.00K","0.00K"
"46232",421204,"PUERTO RICO","December","High Surf",0,0,1,0,"0.00K","0.00K"
"46332",378771,"OKLAHOMA","April","Tornado",29,0,6,0,"",""
"46543",415189,"NEW YORK","October","High Wind",0,0,1,0,"",""
"46673",423354,"TEXAS","December","Thunderstorm Wind",0,0,1,0,"0.00K","0.00K"
"46930",417767,"WEST VIRGINIA","October","Blizzard",0,0,0,1,"0.00K","0.00K"
"46999",421580,"NEBRASKA","December","Blizzard",0,0,0,1,"0.00K","0.00K"
"47015",419342,"VERMONT","December","Strong Wind",0,0,1,0,"35.00K","0.00K"
"47127",388273,"NEW JERSEY","June","Rip Current",0,0,1,0,"0.00K","0.00K"
"47128",388274,"NEW JERSEY","June","Rip Current",0,0,1,0,"0.00K","0.00K"
"47310",422972,"ILLINOIS","November","Winter Weather",0,0,0,1,"0.00K","0.00K"
"47474",419341,"VERMONT","December","Strong Wind",0,0,1,0,"25.00K","0.00K"
"47677",415936,"MINNESOTA","December","Winter Storm",0,0,0,1,"0.00K","0.00K"
"47824",426291,"VIRGINIA","December","Winter Weather",0,1,0,1,"0.00K","0.00K"
"47895",420015,"PUERTO RICO","November","Rip Current",0,0,1,0,"0.00K","0.00K"
"47897",419271,"CALIFORNIA","November","Flood",0,0,1,0,"0.00K","0.00K"
"48097",404559,"WISCONSIN","July","Excessive Heat",0,0,2,0,"",""
"48174",419848,"NEBRASKA","December","Winter Storm",0,0,0,1,"0.00K","0.00K"
"48264",413166,"PENNSYLVANIA","October","Heavy Snow",0,0,0,1,"0.00K","0.00K"
"48349",421278,"MISSISSIPPI","November","Dense Fog",0,0,0,1,"0.00K","0.00K"
"48551",418259,"CALIFORNIA","October","Heat",0,0,1,0,"0.00K","0.00K"
"48943",375925,"ALABAMA","April","Rip Current",1,0,1,0,"0.00K","0.00K"
"49149",415838,"OKLAHOMA","December","Winter Weather",0,0,0,1,"0.00K","0.00K"
"49320",416731,"CONNECTICUT","October","High Wind",2,0,1,0,"439.00K","0.00K"
"49338",427056,"INDIANA","December","Winter Weather",0,0,0,1,"75.00K",""
"49462",366634,"CALIFORNIA","February","Rip Current",0,0,1,0,"0.00K","0.00K"
"49504",399640,"MICHIGAN","July","Rip Current",0,0,1,0,"0.00K","0.00K"
"49516",411591,"PENNSYLVANIA","October","High Wind",0,0,1,0,"200.00K","0.00K"
"49583",420183,"CALIFORNIA","November","Dense Fog",0,0,0,3,"300.00K","0.00K"
"49840",419313,"HAWAII","December","Heavy Rain",0,0,1,0,"0.00K","0.00K"
"49874",418711,"TEXAS","December","Dust Storm",0,17,0,1,"1.00M","0.00K"
"50133",363176,"NEVADA","January","Wildfire",0,0,1,0,"4.53M","0.00K"
"50189",389375,"FLORIDA","July","Rip Current",0,0,2,0,"0.00K","0.00K"
"50217",399779,"MISSOURI","July","Heat",0,0,1,0,"0.00K","0.00K"
"50291",402331,"MISSOURI","July","Excessive Heat",0,0,3,0,"0.00K","0.00K"
"50405",403086,"TEXAS","July","Excessive Heat",0,0,1,0,"0.00K","0.00K"
"50411",401041,"TENNESSEE","July","Heat",0,0,3,0,"0.00K","0.00K"
"50412",401043,"MISSISSIPPI","July","Heat",0,0,1,0,"0.00K","0.00K"
"50554",393064,"INDIANA","July","Excessive Heat",0,0,3,0,"0.00K","0.00K"
"50634",380146,"FLORIDA","June","Strong Wind",0,0,1,0,"0.00K","0.00K"
"50668",421664,"NEW JERSEY","October","Coastal Flood",0,0,1,0,"0.00K","0.00K"
"50871",403655,"MARYLAND","July","Heat",0,0,0,2,"0.00K","0.00K"
"50895",427763,"CALIFORNIA","December","Avalanche",0,0,1,0,"0.00K","0.00K"
"50949",402384,"MISSOURI","July","Excessive Heat",0,0,7,0,"0.00K","0.00K"
"51018",404561,"WISCONSIN","July","Excessive Heat",0,0,1,0,"",""
"51201",381394,"KENTUCKY","July","Heat",0,0,1,0,"0.00K","0.00K"
"51396",404755,"ILLINOIS","July","Rip Current",0,0,1,0,"0.00K","0.00K"
"51399",404139,"ILLINOIS","July","Heat",0,0,1,0,"0.00K","0.00K"
"51478",410535,"SOUTH CAROLINA","August","Thunderstorm Wind",0,5,0,1,"2.00K","0.00K"
"51569",372236,"COLORADO","March","Wildfire",0,0,3,0,"11.00M",""
"51673",395479,"UTAH","June","Wildfire",2,0,1,0,"0.00K","0.00K"
"51704",396410,"ATLANTIC NORTH","June","Marine Thunderstorm Wind",0,0,1,0,"0.00K","0.00K"
